Row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
81,0.0302,0.0719,0.0167,0.0066,0.7998,0.3643,0.4237,0.1904,0.8221,0.6369,0.7124,0.3628,0.0736,0.1422,0.1706,0.6000,0.3198,0.1669,0.2584,0.1477
82,0.4443,0.0143,0.7629,0.2361,0.8920,0.2954,0.5552,0.1488,0.9424,0.6084,0.2342,0.5625,0.2093,0.4201,0.5200,0.3414,0.3344,0.4109,0.7896,0.2328
83,0.0371,0.5697,0.8631,0.3015,0.4035,0.1266,0.6039,0.4485,0.1219,0.0303,0.1945,0.0559,0.4743,0.3084,0.4158,0.4693,0.1518,0.7710,0.4770,0.8066
84,0.4628,0.9706,0.7231,0.8601,0.3323,0.7347,0.0638,0.4956,0.4456,0.1691,0.4845,0.7761,0.6120,0.7964,0.9644,0.5884,0.9319,0.1410,0.2855,0.6175
85,0.9703,0.0829,0.5777,0.0586,0.8210,0.3002,0.3538,0.1160,0.2048,0.8852,0.9675,0.4803,0.1872,0.5223,0.8844,0.3855,0.3053,0.7120,0.7271,0.1683
86,0.8854,0.1850,0.7879,0.4043,0.6102,0.3582,0.5545,0.7288,0.0560,0.3410,0.1994,0.1654,0.2351,0.6783,0.2870,0.1052,0.7837,0.5800,0.5473,0.4377
87,0.3926,0.9017,0.7648,0.4238,0.7319,0.3531,0.5156,0.8029,0.4416,0.6563,0.9300,0.6920,0.6705,0.1062,0.3373,0.3542,0.3192,0.6976,0.3904,0.5391
88,0.1483,0.8554,0.5339,0.2454,0.5523,0.2567,0.0027,0.1445,0.6596,0.6345,0.3376,0.3545,0.9863,0.4532,0.1732,0.4079,0.9972,0.7152,0.3207,0.0498
89,0.7592,0.0971,0.6478,0.9858,0.9982,0.5885,0.8618,0.0453,0.6996,0.9081,0.2507,0.7709,0.0726,0.2402,0.7986,0.2821,0.0991,0.1210,0.8321,0.9303
90,0.6955,0.4163,0.4354,0.4244,0.4400,0.4936,0.2681,0.5122,0.4102,0.7316,0.1716,0.0904,0.4994,0.0655,0.2223,0.2513,0.9519,0.5237,0.2393,0.1736
91,0.4981,0.3125,0.6190,0.6731,0.9411,0.4116,0.3540,0.4132,0.1003,0.7107,0.8116,0.2221,0.6071,0.8360,0.0785,0.9453,0.0647,0.5115,0.0965,0.1802
92,0.2735,0.9790,0.3025,0.9467,0.2054,0.3637,0.7631,0.4447,0.8102,0.9413,0.2262,0.6778,0.2302,0.3177,0.5076,0.2923,0.5963,0.9988,0.9525,0.0238
93,0.0992,0.9299,0.0799,0.0193,0.3644,0.4494,0.1173,0.4441,0.4373,0.1261,0.5941,0.5752,0.3128,0.1081,0.7692,0.4842,0.4970,0.3292,0.3476,0.3851
94,0.3389,0.9630,0.2560,0.8841,0.9929,0.8908,0.6696,0.8924,0.9382,0.0367,0.3055,0.9999,0.2511,0.1208,0.5943,0.3966,0.2596,0.4973,0.5530,0.5827
95,0.4852,0.9074,0.3696,0.8701,0.9397,0.0403,0.4249,0.6616,0.3225,0.7302,0.9705,0.9594,0.8812,0.4216,0.1661,0.3439,0.0767,0.9278,0.3924,0.1397
96,0.5510,0.7836,0.0538,0.5080,0.8871,0.1212,0.5427,0.9899,0.8366,0.6305,0.7112,0.1986,0.3317,0.8271,0.8652,0.5811,0.5261,0.0779,0.6770,0.4655
97,0.6467,0.3791,0.5148,0.7082,0.2222,0.6147,0.2534,0.3685,0.6991,0.0669,0.3753,0.0400,0.8690,0.8703,0.9918,0.4433,0.8540,0.9216,0.3677,0.9164
98,0.8176,0.9404,0.0668,0.3498,0.1048,0.4597,0.5452,0.6403,0.5333,0.5977,0.7547,0.9387,0.1502,0.9701,0.3656,0.3819,0.7510,0.1971,0.5264,0.2433
99,0.9236,0.6258,0.1937,0.6027,0.2285,0.6666,0.9315,0.9538,0.9956,0.9491,0.1849,0.7845,0.6481,0.1051,0.5417,0.8270,0.6803,0.6724,0.2746,0.2333
100,0.5321,0.3037,0.4026,0.9737,0.9327,0.9430,0.1858,0.5202,0.6936,0.9253,0.7967,0.7937,0.2537,0.7593,0.8661,0.8025,0.5725,0.0406,0.1330,0.8593
